planet_name,orbital_period,semi_major_axis,planet_mass,planet_radius,stellar_mass,stellar_temp,equilibrium_temp,eccentricity,discovery_method
PH2 b,282.52542,0.833,87.08498352,9.33708092,0.966,5734,295.1,0.215,Transit
Kepler-1513 b,160.8842,NA,48.30991786,8.594,0.943,5491,NA,0.306,Transit
KOI-3680 b,141.241671,0.534,613.4119,11.09691,1.01,5830,347,0.496,Transit
Kepler-1514 b,217.83184,0.753,1678.1424,12.419572,1.196,6145,387.9,0.401,Transit
KOI-1783.02,284.215,NA,15,5.44,1.076,5922,NA,0,Transit
KOI-1599.02,13.6088,0.112293,9,1.9,1.02,NA,NA,0.0114,Transit
K2-27 b,6.771347,NA,30.2,4.74,0.88,5246,836,NA,Transit
K2-19 d,2.5081,NA,10,1.11,0.88,5322,NA,NA,Transit
K2-36 c,5.340888,0.05528,7.9,3.2,0.79,4916,854,0.089,Transit
K2-36 b,1.422614,0.02288,4.3,1.43,0.79,4916,1328,0.093,Transit
WASP-85 A b,2.6556777,0.039,402.05495,13.89916,1.09,6112,1452,0,Transit
K2-24 c,42.3391,NA,15.4,7.5,1.07,5625,NA,0.07,Transit
K2-24 b,20.88977,NA,19,5.4,1.07,5625,NA,0.06,Transit
K2-37 d,14.09229,NA,12.5,2.31,0.84,5352,646,NA,Transit
K2-31 b,1.25785,0.022,563.83042,11.88154,0.91,5280,NA,0,Transit
K2-32 b,8.992,0.0795,15,5.299,0.83,5271,837,0.03,Transit
K2-32 d,31.71701,0.18422,6.7,3.484,0.83,5271,550,0.05,Transit
K2-32 c,20.66093,0.13843,8.1,3.134,0.83,5271,634,0.049,Transit
K2-33 b,5.424865,NA,1175.971,5.04,0.56,3540,NA,0,Transit
K2-55 b,2.849271,NA,44,4.43,0.688,4300,900,NA,Transit
K2-265 b,2.36902,0.03359,7.3418362,1.70824866,0.901,5420,1366,0.16,Transit
K2-60 b,3.00265,0.045,135.39558,7.655747,0.97,5500,1400,0,Transit
K2-66 b,5.06963,0.05983,21.3,2.49,1.11,5887,1372,0,Transit
K2-73 b,7.49556,NA,9.2,2.58,1.02,5867,968,NA,Transit
K2-39 b,4.60543,NA,28.6047,6.27704,0.66,4881,NA,0,Transit
K2-85 b,0.68453862616,NA,3.2,1.4,0.7,4232,1355,NA,Transit
K2-79 b,10.9947,0.0988,9.2,4.09,1.066,5897,1022,0.23,Transit
K2-111 b,5.3518,0.0565,5.58,1.82,0.84,5775,1309,0.1,Transit
